pertandingan;rating_tim_home;rating_tim_away;kualitas_pelatih_home;kualitas_pelatih_away;strategi_menyerang_home;strategi_menyerang_away;strategi_bertahan_home;strategi_bertahan_away;hasil
Fulham vs Arsenal;0;1;1;1;1;3;0;1;kalah
Crystal Palace vs Southampton;1;1;2;1;0;2;0;3;menang
Liverpool vs Leeds United;2;1;2;1;2;2;2;1;menang
West Ham vs Newcastle;1;1;1;1;2;0;1;1;kalah
West brom vs Leicester City;0;1;1;1;0;1;1;3;kalah
Tottenham vs Everton;2;1;2;2;2;1;0;0;kalah
Sheffield vs Wolves;0;1;1;1;2;0;1;3;kalah
Brighton vs Chelsea;1;2;1;0;1;2;3;0;kalah
Everton vs West Bromwich;1;0;2;1;2;0;0;0;menang
Leeds United vs Fulham;1;1;1;1;2;2;2;3;menang
Manchester United vs Crystal Palace;2;1;1;2;2;0;2;0;kalah
Arsenal vs West Ham;1;1;1;1;2;0;2;0;menang
Southampton vs Tottenham;1;2;1;2;2;1;3;1;kalah
Newcastle vs Brighton;1;1;1;1;1;1;0;1;kalah
Chelsea vs Livepool;2;2;0;2;0;2;0;2;kalah
Leicester City vs Burnley;1;1;1;0;2;1;2;0;menang
Aston Villa vs Sheffield;1;0;1;1;2;0;2;0;menang
Wolves vs Manchester City;1;2;1;2;2;3;3;2;kalah
Brighton vs Manchester United;1;2;1;1;2;2;3;2;kalah
Crystal Palace vs Everton;1;1;2;2;1;2;1;3;kalah
West Brom vs Chelsea;0;2;1;0;0;2;3;1;imbang
Burnley vs Southampton;1;1;0;1;2;1;1;0;kalah
Sheffield vs Leeds United;0;1;1;1;0;1;1;1;kalah
Tottenham vs Newcastle;2;1;2;1;2;0;3;0;imbang
Manchester City vs Leicester City;2;1;2;1;3;0;2;1;kalah
West Ham vs Wolves;1;1;1;1;1;2;0;3;menang
Fulham vs Aston Villa;1;1;1;1;2;1;3;1;kalah
Liverpool vs Arsenal;2;1;2;1;3;0;3;0;menang
Chelsea vs Crystal Palace;2;1;0;2;3;1;2;0;menang
Everton vs Brighton;1;1;2;1;1;3;1;3;menang
Leeds United vs Manchester City;1;2;1;2;2;2;2;0;imbang
Newcastle vs Burnley;1;1;1;0;1;2;3;3;menang
Leicester City vs West Ham;1;1;1;1;3;0;0;3;kalah
Southampton vs West Brom;1;0;1;1;3;1;1;0;menang
Wolves vs Fulham;1;1;1;1;2;3;1;0;menang
Arsenal vs Sheffield;1;0;1;1;3;0;1;0;menang
Manchester United vs Tottenham;2;2;1;2;1;3;0;2;kalah
Aston Villa vs Liverpool;1;2;1;2;0;3;0;2;menang
Everton vs Liverpool;1;2;2;2;1;3;1;2;imbang
Chelsea vs Southampton;2;1;0;1;2;2;1;0;imbang
Manchester City vs Arsenal ;2;1;2;1;3;2;2;0;menang
Newcastle vs Manchester United;1;2;1;1;1;3;0;1;kalah
Sheffield vs Fulham;0;1;1;1;1;2;0;1;imbang
Crystal Palace vs Brighton;1;1;2;1;1;2;3;1;imbang
Tottenham vs West Ham;2;1;2;1;2;2;3;0;imbang
Leicester vs Aston Villa;1;1;1;1;1;0;3;1;kalah
West Brom vs Burnley;0;1;0;1;1;0;0;1;imbang
Leeds United vs Wolves;1;1;1;1;2;0;3;0;kalah
Aston Villa vs Leeds United;1;1;1;1;0;1;0;1;kalah
West Ham vs Manchester City;1;2;1;2;0;3;0;2;imbang
Fulham vs Crystal Palace;1;1;1;2;3;1;3;0;kalah
Manchester United vs Chelsea;2;2;1;0;2;2;0;1;imbang
Liverpool vs Sheffield;2;0;2;1;3;0;2;0;menang
Southampton vs Everton;1;1;1;2;3;2;1;0;menang
Wolves vs Newcastle;1;1;1;1;3;2;2;1;imbang
Arsenal vs Leicester City;1;1;1;1;2;0;2;1;kalah
Brighton vs West Brom;1;0;1;1;1;1;2;1;imbang
Burnley vs Tottenham;1;2;0;2;0;3;1;3;kalah
Wolves vs Crystal Palace;1;1;1;2;1;2;0;2;menang
Sheffield vs Manchester City;0;2;1;2;0;3;0;2;kalah
Burnley vs Chelsea;1;2;0;0;0;3;0;2;kalah
Liverpool vs West Ham;1;2;1;2;3;0;2;1;menang
Aston Villa vs Southampton;1;1;1;1;1;1;0;1;kalah
Newcastle vs Everton;1;1;1;2;1;3;1;0;menang
Manchester United vs Arsenal;2;1;1;1;2;2;1;2;kalah
Tottenham vs Brighton;2;1;2;1;0;2;0;2;menang
Fulham vs West Brom;1;0;1;1;0;1;3;1;menang
Leeds United vs Leicester City;1;1;1;1;3;0;2;1;kalah
Brighton vs Burnley;1;1;1;0;2;1;1;0;imbang
Southampton vs Newcastle;1;1;1;1;3;0;2;3;menang
Everton vs Manchester United;1;2;2;1;2;2;0;3;kalah
Crystal Palace vs Leeds United;1;1;2;1;0;3;0;0;menang
Chelsea vs Sheffield;2;0;0;1;3;0;2;0;menang
West Ham vs Fulham;1;1;1;1;2;2;0;3;menang
West Brom vs Tottenham;0;2;1;2;0;2;1;1;kalah
Leicester City vs Wolves;1;1;1;1;2;2;0;1;menang
Manchester City vs Liverpool;2;2;2;2;2;2;3;0;imbang
Arsenal vs Aston Villa;1;1;1;1;2;0;2;0;kalah
Newcastle vs Chelsea;1;2;1;0;0;3;0;2;kalah
Aston Villa vs Brighton;1;1;1;1;1;0;2;3;kalah
Tottenham vs Manchester City ;2;2;2;2;0;3;0;2;menang
Manchester United vs West Brom;2;0;1;1;3;0;1;0;menang
Fulham vs Everton;1;1;1;2;3;2;2;1;kalah
Sheffield vs West Ham;0;1;1;1;2;2;0;3;kalah
Leeds United vs Arsenal;1;1;1;1;3;0;2;0;imbang
Liverpool vs Leicester City;2;1;2;1;2;1;1;0;menang
Burnley vs Crystal Palace;1;1;0;2;1;2;0;0;menang
Wolves vs Southampton;1;1;1;1;1;2;0;1;imbang
Crystal Palace vs Newcastle;1;1;2;1;2;0;2;0;kalah
Brighton vs Liverpool;1;2;1;2;0;2;0;2;imbang
Manchester City vs Burnley;2;1;2;0;3;0;2;0;menang
Everton vs Leeds United;1;1;2;1;0;2;0;2;kalah
West Brom vs Sheffield;0;0;1;1;0;1;0;1;menang
Southampton vs Manchester United;1;2;1;1;2;2;1;2;kalah
Chelsea vs Tottenham;2;2;0;2;3;0;2;0;imbang
Arsenal vs Wolves;1;1;1;1;2;1;2;1;kalah
Leicester City vs Fulham;1;1;1;1;3;0;1;0;kalah
West Ham vs Aston Villa;1;1;1;1;0;2;3;1;menang
Burnley vs Everton ;1;1;0;2;1;3;3;2;imbang
Manchester City vs Fulham;2;1;2;1;3;0;2;0;menang
West Ham vs Manchester United;1;2;1;1;0;3;0;2;kalah
Chelsea vs Leeds United;2;1;0;1;1;2;3;1;menang
West Brom vs Crystal Palace;0;1;1;1;2;2;3;2;kalah
Sheffield vs Leicester City;0;1;1;1;0;3;3;2;kalah
Tottenham vs Arsenal;2;1;2;1;0;3;0;2;menang
Liverpool vs Wolves;2;1;2;1;3;1;1;0;menang
Brighton vs Southampton;1;1;1;1;1;1;3;0;kalah
Leeds United vs West Ham;1;1;1;1;2;0;1;0;kalah
Wolves vs Aston Villa;1;1;1;1;1;1;3;1;kalah
Newcastle vs West Brom;1;0;1;1;1;1;0;3;menang
Manchester United vs Manchester City;2;2;1;2;2;2;2;2;imbang
Everton vs Chelsea;1;2;2;0;0;3;0;2;menang
Southampton vs Sheffield;1;0;1;1;2;0;2;3;menang
Crystal Palace vs Tottenham;1;2;1;2;1;2;1;3;imbang
Fulham vs Liverpool;1;2;1;2;0;3;0;1;imbang
Leicester vs Brighton;1;1;1;1;2;1;0;3;menang
Arsenal vs Burnley;1;1;1;0;2;0;2;1;kalah
Wolves vs Chelsea;1;2;1;0;1;1;1;1;menang
Manchester City vs West Brom;2;0;2;1;3;0;0;1;imbang
Arsenal vs Southampton;1;1;1;1;0;3;0;2;imbang
Leicester City vs Everton;1;1;1;2;2;0;2;0;kalah
Leeds United vs Newcastle;1;1;1;1;2;0;2;3;menang
Fulham vs Brighton;1;1;1;1;1;1;1;0;imbang
Liverpool vs Tottenham;2;2;2;2;3;0;0;0;menang
West Ham vs Crystal Palace;1;1;1;1;1;1;0;1;imbang
Aston Villa vs Burnley;1;0;1;1;1;0;0;0;imbang
Sheffielf United vs Manchester United;0;2;1;1;0;2;1;0;kalah
Crystal Palace vs Liverpool;1;2;1;2;0;3;0;3;kalah
Southampton vs Manchester City;1;2;1;2;1;2;0;2;kalah
Everton vs Arsenal;1;1;2;1;1;2;0;0;menang
Newcastle vs Fulham;1;1;1;1;1;1;0;0;imbang
Brighton vs Sheffield United;1;0;1;1;2;0;2;0;imbang
Tottenham vs Leicester City;2;1;2;1;2;1;2;1;kalah
Manchester United vs Leeds United;2;1;1;1;0;1;0;2;menang
West Brom vs Aston Villa;0;1;1;1;0;2;0;2;kalah
Burnley vs Wolves;1;1;0;1;0;1;1;0;menang
Chelsea vs West Ham;2;1;0;1;2;1;2;0;menang
Leicester City vs Manchester United;1;2;1;1;2;1;1;0;imbang
Fulham vs Southampton;1;1;1;1;0;0;1;0;imbang
Aston Villa vs Crystal Palace;1;1;1;1;0;1;0;1;menang
Arsenal vs Chelsea;1;2;1;0;0;2;1;2;menang
Manchester City vs Newcastle;2;1;2;1;3;0;2;0;menang
Sheffield vs Everton;0;1;1;2;1;2;1;1;kalah
Leeds United vs Burnley;1;1;1;0;1;0;0;1;menang
West Ham vs Brighton;1;1;1;1;1;2;0;1;imbang
Liverpool vs West Brom;2;0;2;1;3;0;2;1;imbang
Wolves vs Tottenham;1;2;1;2;2;1;2;0;imbang
Crystal Palace vs Leicester City;1;1;1;1;0;2;0;3;imbang
Chelsea vs Aston Villa;2;1;0;1;2;0;2;0;imbang
Brighton vs Arsenal ;1;1;1;1;1;2;2;1;kalah
Southampton vs West Ham;1;1;1;1;2;0;1;1;imbang
West Brom vs Leeds United;0;1;1;1;0;3;0;2;kalah
Burnley vs Sheffield United;1;0;0;1;0;1;1;0;menang
Manchester United vs Wolves;2;1;1;1;3;1;2;0;menang
Newcastle vs Liverpool;1;2;1;2;0;3;0;1;imbang
Everton vs West Ham;1;1;2;1;2;1;0;3;kalah
Manchester United vs Aston Villa;2;1;1;1;1;1;1;0;menang
Tottenham vs Leeds United;2;1;2;1;0;2;0;2;menang
Crystal Palace vs Sheffield United;1;0;1;1;1;2;0;1;menang
Brighton vs Wolves;1;1;1;1;2;1;1;0;imbang
West Brom vs Arsenal;0;1;1;1;0;3;1;2;kalah
Newcastle vs Leicester City;1;1;1;1;0;1;1;1;kalah
Chelsea vs Manchester City;2;2;0;2;3;2;2;0;kalah
Southampton vs Liverpool;1;2;1;2;0;3;0;2;menang
Burnley vs Manchester United;1;2;0;1;0;2;0;1;kalah
Sheffield vs Newcastle;0;1;1;1;2;0;1;0;menang
Everton vs Wolves;1;1;1;2;2;2;0;1;kalah
Tottenham vs Fulham;2;1;2;1;2;1;0;0;imbang
Manchester City vs Brighton;2;1;2;1;3;0;2;0;menang
Arsenal vs Crystal Palace;1;1;1;1;3;0;2;0;imbang
Wolves vs West Brom;1;0;1;1;2;0;3;0;kalah
West Ham vs Burnley;1;1;1;0;2;1;2;3;menang
Leeds United vs Brighton;1;1;1;1;3;0;2;0;kalah
Fulham vs Chelsea;1;2;1;0;0;3;1;1;kalah
Leicester City vs Southampton;1;1;1;1;1;1;0;3;menang
Sheffield vs Tottenham;0;2;1;2;1;2;1;3;kalah
Liverpool vs Manchester United;2;2;2;1;3;0;2;1;imbang
Manchester City vs Crystal Palace;2;1;2;1;3;0;2;0;menang
Arsenal vs Newcastle;1;1;1;1;2;0;1;3;menang
West Ham vs West Brom;1;0;1;1;2;0;2;3;menang
Leicester City vs Chelsea;1;2;1;0;0;3;3;1;menang
Manchester City vs Aston Villa;2;1;2;1;3;0;0;3;menang
Fulham vs Manchester United;1;2;1;1;1;3;0;1;kalah
Liverpool vs Burnley;2;1;2;0;3;0;2;1;kalah
Aston Villa vs Newcastle ;1;1;1;1;2;0;0;0;menang
Newcastle vs Leeds United;1;1;1;1;0;1;0;1;kalah
Crystal Palace vs West Ham;1;1;1;1;2;1;1;0;kalah
Southampton vs Arsenal;1;1;1;1;1;0;2;0;kalah
West Brom vs Manchester City;0;2;1;2;0;3;0;2;kalah
Chelsea vs Wolves;2;1;0;1;3;0;2;0;imbang
Burnley vs Aston Villa;1;1;0;1;0;1;1;3;menang
Brighton vs Fulham;1;1;1;1;1;1;1;0;imbang
Manchester United vs Sheffield;2;0;1;1;3;0;3;0;kalah
Everton vs Leicester City;1;1;1;2;0;2;0;1;imbang
Tottenham vs Liverpool;2;2;2;2;2;2;1;2;kalah
Everton vs Newcastle;1;1;2;1;1;0;0;3;kalah
Crystal Palace vs Wolves;1;1;1;1;2;2;0;0;imbang
Manchester City vs Sheffield;2;0;2;1;3;0;2;0;menang
West Brom vs Fulham;0;1;1;1;0;2;0;3;imbang
Arsenal vs Manchester Untied;1;2;1;1;1;2;0;0;imbang
Southampton vs Aston Villa;1;1;1;1;1;0;3;3;kalah
Chelsea vs Burnley;2;1;0;0;3;0;2;3;menang
Leicester City vs Leeds United;1;1;1;1;1;0;0;1;kalah
West Ham vs Liverpool;1;2;1;2;0;3;3;2;kalah
Brighton vs Tottenham;1;2;1;2;1;2;0;1;menang
Sheffield vs West Brom;0;0;1;1;2;0;3;0;menang
Wolves vs Arsenal ;1;1;1;1;2;1;1;2;menang
Manchester United vs Southampton;2;1;1;1;3;0;2;1;menang
Newcastle vs Crystal Palace;1;1;1;1;3;0;2;0;kalah
Burnley vs Manchester City;1;2;0;2;0;3;3;1;kalah
Fulham vs Leicester City;1;1;1;1;2;1;0;3;kalah
Leeds United vs Everton;1;1;1;2;2;0;2;0;kalah
Aston Villa vs West Ham ;1;1;1;1;1;0;0;1;kalah
Liverpool vs Brighton;2;1;2;1;3;1;2;1;kalah
Tottenham vs Chelsea;2;2;2;0;1;3;3;1;kalah
Aston Villa vs Arsenal;1;1;1;1;0;2;0;2;menang
Burnley vs Brighton;0;1;1;1;1;0;0;3;imbang
Newcastle vs Southmapton;1;1;1;1;0;3;0;2;menang
Fulham vs West ham;1;1;1;1;2;0;3;0;imbang
Manchester United vs Everton;2;1;1;1;3;0;1;0;imbang
